price,bedrooms,beds,cleaning_fee,guests_included,maximum_nights,minimum_nights,property_type,room_type,review_scores,street,country,country_code,availability_30,availability_60,availability_90,availability_365,latitude,longitude
229,1,3,95,1,1125,4,Condominium,Entire home/apt,94,"Kihei, HI, United States",United States,US,5,26,35,228,20.78621,-156.46881
298,1,1,0,1,1125,4,Apartment,Entire home/apt,0,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,0,0,0,0,-22.9631493,-43.1779489
80,1,2,30,1,1125,5,Apartment,Entire home/apt,95,"Matosinhos, Porto, Portugal",Portugal,PT,0,0,0,27,41.17544,-8.68887
2499,4,8,0,1,1125,5,House,Entire home/apt,0,"Rio de Janeiro, State of Rio de Janeiro, Brazil",Brazil,BR,30,60,90,365,-22.99391888,-43.27502007
479,1,1,0,1,1125,28,Condominium,Private room,94,"Mongkok, Kowloon, Hong Kong",Hong Kong,HK,0,3,3,3,22.32074,114.17094
999,4,4,0,1,1125,5,House,Entire home/apt,0,"Greenwich, NSW, Australia",Australia,AU,30,60,90,365,-33.8289,151.18563
129,1,1,60,1,40,2,Guesthouse,Entire home/apt,97,"Marrickville, NSW, Australia",Australia,AU,30,60,90,365,-33.90318,151.15036
112,1,1,0,1,1125,1,Apartment,Private room,0,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,30,60,90,365,-22.94132122,-43.17933175
264,3,4,0,4,1125,3,Apartment,Entire home/apt,94,"Beyoğlu, İstanbul, Turkey",Turkey,TR,18,29,51,326,41.03735,28.97477
29,1,1,10,2,1125,1,Apartment,Entire home/apt,89,"Porto, Porto, Portugal",Portugal,PT,16,42,61,309,41.1462,-8.59275
100,1,2,100,1,1125,1,Apartment,Private room,0,"Beşiktaş, İstanbul, Turkey",Turkey,TR,30,60,90,365,41.05197,29.02519
351,2,5,0,1,1125,2,Condominium,Entire home/apt,95,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,22,52,82,172,-23.00970269,-43.32231287
353,1,2,50,1,1125,1,Apartment,Private room,71,"Sham Shui Po, Kowloon, Hong Kong",Hong Kong,HK,30,60,90,365,22.32733,114.16262
125,2,3,99,1,1125,2,Condominium,Entire home/apt,96,"Hilo, HI, United States",United States,US,12,39,65,65,19.73108,-155.09259
144,1,1,150,1,30,3,Apartment,Entire home/apt,0,"Brooklyn, NY, United States",United States,US,0,0,0,0,40.69406,-73.98102
20,1,2,20,1,1125,2,Apartment,Private room,100,"Barcelona, Catalunya, Spain",Spain,ES,0,0,0,0,41.40087,2.17963
125,1,1,80,2,90,4,Apartment,Entire home/apt,96,"Brooklyn, NY, United States",United States,US,1,6,8,168,40.70687,-73.93981
325,4,6,250,8,90,2,House,Entire home/apt,98,"Kailua-Kona, HI, United States",United States,US,11,37,48,267,19.61318,-155.97349
85,1,1,15,1,1125,1,Apartment,Entire home/apt,100,"Rushcutters Bay, NSW, Australia",Australia,AU,0,0,0,0,-33.87604,151.22559
85,2,3,40,6,1125,2,Apartment,Entire home/apt,71,"Barcelona, Catalunya, Spain",Spain,ES,13,16,27,174,41.41582,2.15836
60,2,3,25,3,1125,3,Apartment,Entire home/apt,89,"Porto, Porto, Portugal",Portugal,PT,0,16,46,314,41.16093,-8.6114
395,2,5,300,4,1125,2,Apartment,Entire home/apt,91,"Rio de Janeiro, RJ, Brazil",Brazil,BR,17,47,77,342,-22.96448812,-43.22076223
120,1,1,100,1,1125,2,Guesthouse,Entire home/apt,95,"Honolulu, HI, United States",United States,US,3,26,53,323,21.29561,-157.78578
169,4,6,60,10,1125,2,Apartment,Entire home/apt,90,"Barcelona, Catalunya, Spain",Spain,ES,19,32,48,211,41.39716,2.18146
105,1,1,60,1,1125,3,Apartment,Private room,96,"Taksim, Cihangir, Istanbul , Beyoğlu, Turkey",Turkey,TR,23,44,74,336,41.03376,28.98648
701,1,4,100,1,1125,5,Apartment,Entire home/apt,0,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,0,0,0,0,-22.93138711,-43.17974071
80,1,1,50,1,1125,3,Apartment,Private room,100,"New York, NY, United States",United States,US,5,35,65,339,40.80708,-73.95211
801,2,2,0,1,365,7,Apartment,Entire home/apt,0,"Shatin , Hong Kong, Hong Kong",Hong Kong,HK,0,0,0,0,22.40547,114.12074
80,3,3,20,2,1124,2,Apartment,Entire home/apt,92,"Porto, Porto, Portugal",Portugal,PT,5,25,46,214,41.14295,-8.61602
351,1,2,140,2,89,2,Apartment,Entire home/apt,95,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,12,26,49,317,-22.96492239,-43.17596612
933,3,7,298,4,100,4,Apartment,Entire home/apt,100,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,0,0,0,0,-23.0111246,-43.32984176
137,1,1,0,1,1125,1,Apartment,Private room,0,"Kadıköy, İstanbul, Turkey",Turkey,TR,0,0,0,0,40.98825,29.02588
298,3,3,160,1,1125,3,Apartment,Entire home/apt,100,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,0,0,0,0,-22.98416287,-43.2212007
997,1,1,500,1,1125,2,Apartment,Entire home/apt,95,"Sheung Wan, Hong Kong Island, Hong Kong",Hong Kong,HK,0,0,0,0,22.28351,114.15241
55,2,2,25,2,28,2,Apartment,Entire home/apt,97,"Porto, Porto, Portugal",Portugal,PT,3,12,24,243,41.14106,-8.61279
1999,6,6,0,1,1125,1,House,Entire home/apt,0,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,23,53,83,358,-22.91747561,-43.17823403
72,1,1,12,2,25,3,House,Entire home/apt,96,"Keaau, HI, United States",United States,US,20,47,77,352,19.56081,-155.02503
30,1,1,20,1,1125,2,Apartment,Private room,0,"Montréal, Québec, Canada",Canada,CA,0,0,0,0,45.52517,-73.60137
31,4,4,7,2,1125,200,Apartment,Entire home/apt,60,"Barcelona, Catalunya, Spain",Spain,ES,23,53,83,358,41.41254,2.19057
50,1,1,50,1,45,2,Apartment,Private room,96,"Brooklyn, NY, United States",United States,US,5,35,64,64,40.67414,-73.95667
139,1,1,85,2,21,3,Guest suite,Private room,93,"Princeville, HI, United States",United States,US,3,5,11,276,22.22739,-159.48653
40,1,3,15,4,1125,2,Condominium,Private room,82,"Barcelona, Catalonia, Spain",Spain,ES,19,27,38,289,41.40686,2.15533
451,2,3,200,4,1120,3,Apartment,Entire home/apt,95,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,11,41,63,329,-23.00878357,-43.34302719
15,1,1,0,1,1125,1,Apartment,Private room,0,"Barcelona, Catalunya, Spain",Spain,ES,0,0,0,0,41.41035,2.17519
65,1,1,25,1,1125,1,House,Private room,96,"Petersham, NSW, Australia",Australia,AU,0,0,0,232,-33.89931,151.15851
385,1,1,298,2,1125,2,Apartment,Entire home/apt,97,"Istanbul, Istanbul Province, Turkey",Turkey,TR,30,60,90,365,41.03406,28.97994
417,1,2,237,1,1125,5,Apartment,Entire home/apt,83,"Şişli, İstanbul, Turkey",Turkey,TR,10,10,22,297,41.05261,28.99363
58,1,1,40,2,40,3,Apartment,Entire home/apt,94,"Porto, Porto, Portugal",Portugal,PT,29,59,84,359,41.14684,-8.60106
90,1,1,50,1,1125,7,Apartment,Private room,0,"New York, NY, United States",United States,US,0,0,0,0,40.71823,-73.98319
211,1,2,0,1,1125,1,Serviced apartment,Entire home/apt,80,"Beyoğlu, İstanbul, Turkey",Turkey,TR,8,38,68,343,41.03445,28.98789
89,2,2,30,2,1125,2,Apartment,Entire home/apt,93,"Barcelona, Catalonia, Spain",Spain,ES,8,10,15,280,41.38475,2.14596
40,1,2,10,1,1125,2,Condominium,Private room,78,"Barcelona, Catalunya, Spain",Spain,ES,8,14,27,253,41.38049,2.17778
60,1,1,0,1,1125,1,Apartment,Private room,0,"Brooklyn, NY, United States",United States,US,0,0,0,0,40.70528,-73.94384
1703,2,3,400,4,1125,2,Apartment,Entire home/apt,99,"Hong Kong, Hong Kong Island, Hong Kong",Hong Kong,HK,4,10,30,108,22.28028,114.15315
53,1,1,26,1,1125,1,Apartment,Private room,0,"Üsküdar, İstanbul, Turkey",Turkey,TR,30,60,90,365,41.01499,29.08565
187,1,1,0,1,7,3,Hostel,Private room,0,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,30,60,90,180,-22.97650421,-43.18991645
447,1,1,300,2,30,2,Condominium,Private room,97,"Quarry Bay, Hong Kong Island, Hong Kong",Hong Kong,HK,19,22,50,140,22.29099,114.20854
1146,3,3,285,4,1125,2,Apartment,Entire home/apt,87,"Hong Kong, Hong Kong Island, Hong Kong",Hong Kong,HK,7,24,47,306,22.28582,114.15202
128,1,1,75,1,1125,1,Apartment,Private room,99,"New York, NY, United States",United States,US,30,60,87,267,40.80732,-73.9648
746,2,3,75,1,1125,7,Apartment,Entire home/apt,0,"Rio de Janeiro, RJ, Brazil",Brazil,BR,23,53,83,358,-22.93825747,-43.18388905
134,2,3,93,1,1125,5,Condominium,Entire home/apt,0,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,0,0,0,0,-22.86264739,-43.24972983
250,3,3,200,4,30,2,Apartment,Entire home/apt,98,"Brooklyn, NY, United States",United States,US,13,16,30,198,40.6884,-73.97527
